"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"2236217";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236217";"SUG";"1";"2020";"285";"Sugestão";"Sugere estudo visando verificar a atuação do Ministério da Economia, bem como da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE, no exercício de suas atribuições de realização do Censo Demográfico 2020, no que diz respeito às interferências técnicas do Ministério sobre a autonomia da fundação pública, assim como dos impactos da redução de escopo para fins de qualidade do resultado do Censo.";"";"";"2020-01-03T11:09:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5438";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851706";"";"2020-01-03T11:09:00";"1";"";"5438";"CLP";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5438";"Ordinária (Art. 151, III, RICD)";"Apresentação de Proposição";"100";"Aguardando Designação de Relator";"907";"Apresentação da Sugestão n. 1/2020, pelo Sociedade Civil Sindicato Nacional dos Trabalhadores em Fundações Públicas Federais da Geografia e Estatística, que: ""Sugere estudo visando verificar a atuação do Ministério da Economia, bem como da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE, no exercício de suas atribuições de realização do Censo Demográfico 2020, no que diz respeito às interferências técnicas do Ministério sobre a autonomia da fundação pública, assim como dos impactos da redução de escopo para fins de qualidade do resultado do Censo"".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851706"
"2236218";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236218";"SUG";"2";"2020";"285";"Sugestão";"Sugere audiência pública para debater assuntos, discutir estratégias, conscientizar a população sobre a fibromialgia e comemorar o dia mundial de conscientização da fibromialgia com autoridades das áreas médica, jurídica e política.";"";"";"2020-01-03T11:24:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5438";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851707";"";"2020-01-03T11:24:00";"1";"";"5438";"CLP";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5438";"Ordinária (Art. 151, III, RICD)";"Apresentação de Proposição";"100";"Aguardando Designação de Relator";"907";"Apresentação da Sugestão n. 2/2020, pela Sociedadea Civila Associação Nacional de Fibromiálgicos e Doenças Correlacionadas, que: ""Sugere audiência pública para debater assuntos, discutir estratégias, conscientizar a população sobre a fibromialgia e comemorar o dia mundial de conscientização da fibromialgia com autoridades das áreas médica, jurídica e política"".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851707"
"2236222";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236222";"RIC";"1";"2020";"148";"Requerimento de Informação";"Requer informações detalhadas ao Ministro da Cidadania sobre as mudanças no número de Beneficiários do Bolsa Família bem como a não correção pela inflação no orçamento destinado ao programa para 2020.";"";"";"2020-01-03T14:50:13";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851736";"";"2020-01-10T00:00:00";"5";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"";"Designação de Relator";"320";"Aguardando Parecer";"915";"Designado Relator, Dep. Marcos Pereira (REPUBLIC-SP)";""
"2236223";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236223";"MPV";"918";"2020";"291";"Medida Provisória";"Cria funções de confiança destinadas à Polícia Federal e extingue cargos em comissão.";"";"";"2020-01-03T11:59:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1851788";"";"2020-01-03T00:00:00";"3";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 62, CF)";"Abertura de Prazo";"350";"Aguardando Recebimento";"917";"Prazo para Emendas: 03/02/2020 a 10/02/2020. 
Comissão Mista: *
Sobrestar Pauta: a partir de 20/03/2020. 
Congresso Nacional: 04/02/2020 a 02/04/2020. 
Prorrogação pelo Congresso Nacional: 

*Declaração incidental de inconstitucionalidade do art. 5º, caput, art. 6º, §§ 1º e 2º, da Resolução do Congresso Nacional nº 1/2002, com eficácia ex nunc - Ação Direta de Inconstitucionalidade nº 4.029 (DOU de 16/3/12).";""
