"uriProposicao";"siglaTipo";"numero";"ano";"codTema";"tema";"relevancia"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190311";"RIC";"3767";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190312";"RIC";"3768";"2019";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190312";"RIC";"3768";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190313";"RIC";"3769";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190325";"PL";"11279";"2019";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190348";"RIC";"3770";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190348";"RIC";"3770";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222884";"MPV";"897";"2019";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225435";"MPV";"898";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225435";"MPV";"898";"2019";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225778";"MPV";"899";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225778";"MPV";"899";"2019";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225928";"MPV";"900";"2019";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225989";"MPV";"901";"2019";"51";"Estrutura Fundiária";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190350";"RIC";"3771";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190350";"RIC";"3771";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190353";"RIC";"3772";"2019";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190355";"MPV";"871";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190355";"MPV";"871";"2019";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190356";"RIC";"3773";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190357";"RIC";"3774";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190358";"RIC";"3775";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190359";"RIC";"3776";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190360";"RIC";"3777";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190361";"RIC";"3778";"2019";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190362";"RIC";"3779";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190363";"RIC";"3780";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190364";"RIC";"3781";"2019";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190398";"MPV";"872";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190398";"MPV";"872";"2019";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190399";"MSC";"35";"2019";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190399";"MSC";"35";"2019";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190407";"PL";"1";"2019";"35";"Arte, Cultura e Religião";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190408";"PL";"2";"2019";"35";"Arte, Cultura e Religião";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190409";"PL";"3";"2019";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190410";"PL";"4";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190411";"PL";"5";"2019";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190411";"PL";"5";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190412";"PL";"6";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190413";"PL";"7";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190414";"PL";"8";"2019";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190415";"RCP";"1";"2019";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190416";"PL";"9";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190417";"PL";"10";"2019";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190418";"PL";"11";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190419";"PL";"12";"2019";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190419";"PL";"12";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190420";"PL";"13";"2019";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190422";"PL";"14";"2019";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190423";"PL";"15";"2019";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190423";"PL";"15";"2019";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190423";"PL";"15";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190425";"PL";"16";"2019";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190429";"PDL";"2";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190429";"PDL";"2";"2019";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190432";"PL";"17";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190440";"INC";"1";"2019";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190446";"PL";"18";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190446";"PL";"18";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190446";"PL";"18";"2019";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190448";"PL";"19";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190448";"PL";"19";"2019";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190449";"PL";"20";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190450";"PL";"21";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190450";"PL";"21";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190452";"PL";"22";"2019";"39";"Esporte e Lazer";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190452";"PL";"22";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190453";"PL";"23";"2019";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190453";"PL";"23";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190454";"PL";"24";"2019";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190454";"PL";"24";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190455";"PL";"25";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190456";"PL";"26";"2019";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190456";"PL";"26";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190457";"PL";"27";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190458";"PL";"28";"2019";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190458";"PL";"28";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190459";"PL";"29";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190459";"PL";"29";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190460";"PL";"30";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190461";"PL";"31";"2019";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190461";"PL";"31";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190462";"PL";"32";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190463";"RIC";"1";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190464";"PL";"33";"2019";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190465";"PL";"34";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190466";"PL";"35";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190466";"PL";"35";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190467";"PL";"36";"2019";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190880";"PDL";"3";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190881";"PDL";"4";"2019";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190882";"PDL";"5";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190883";"PDL";"6";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190883";"PDL";"6";"2019";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190884";"PDL";"7";"2019";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190884";"PDL";"7";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190885";"PDL";"8";"2019";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190885";"PDL";"8";"2019";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190469";"INC";"2";"2019";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190471";"PL";"38";"2019";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190472";"PL";"39";"2019";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190472";"PL";"39";"2019";"42";"Direito Civil e Processual Civil";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190472";"PL";"39";"2019";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190473";"PL";"40";"2019";"74";"Política, Partidos e Eleições";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190474";"PL";"41";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190474";"PL";"41";"2019";"43";"Direito Penal e Processual Penal";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190474";"PL";"41";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190474";"PL";"41";"2019";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190475";"PL";"42";"2019";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190475";"PL";"42";"2019";"66";"Indústria, Comércio e Serviços";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190475";"PL";"42";"2019";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190477";"PL";"37";"2019";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190477";"PL";"37";"2019";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190483";"PL";"48";"2019";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
